Generation,Mean
0,21.4253
1,23.1085
2,23.5943
3,23.7679
4,23.8321
5,24.2548
6,24.3106
7,24.6449
8,24.7947
9,25.1829
10,25.0582
11,25.4828
12,25.6877
13,25.8
14,25.9558
15,26.3327
16,26.5313
17,26.0918
18,26.4891
19,26.7332
20,26.7554
21,26.7503
22,27.3411
23,26.9107
24,26.4826
25,27.2805
26,27.6029
27,27.6255
28,28.4499
29,29.8141
30,30.9997
31,32.1261
32,33.1088
33,33.7843
34,34.3186
35,34.8287
36,35.4263
37,36.3532
38,36.5902
39,36.3352
40,36.202
41,35.6109
42,35.3355
43,35.3537
44,35.6385
45,35.5017
46,35.8562
47,36.2288
48,36.0417
49,36.4531
50,37.7884
51,37.9248
52,37.8301
53,37.9077
54,37.8527
55,37.8715
56,37.8259
57,37.8525
58,37.877
59,37.8267
60,37.8543
61,37.7728
62,37.8625
63,37.8027
64,37.7398
65,37.8117
66,37.6699
67,37.6677
68,37.5888
69,37.6352
70,37.5034
71,37.4375
72,37.2547
73,37.1781
74,36.7538
75,36.3383
76,36.0891
77,36.5392
78,37.8892
79,38.0049
80,38.0122
81,38.0166
82,38.0195
83,38.0214
84,38.0227
85,38.0236
86,38.0242
87,38.0246
88,38.0249
89,38.0251
90,38.0252
91,38.0253
92,38.0254
93,38.0254
94,38.0255
95,38.0255
96,38.0255
97,38.0256
98,38.0256
99,38.0256
100,38.0256
101,38.0256
102,38.0256
103,38.0256
104,38.0256
105,38.0256
106,38.0256
107,38.0256
108,38.0257
109,38.0257
110,38.0257
111,38.0257
112,38.0257
113,38.0257
114,38.0257
115,38.0257
116,38.0257
117,38.0257
118,38.0257
119,38.0257
120,38.0257
121,38.0257
122,38.0257
123,38.0257
124,38.0257
125,38.0257
126,38.0257
127,38.0257
128,38.0257
129,38.0257
130,38.0257
131,38.0257
132,38.0257
133,38.0257
134,38.0257
135,38.0257
136,38.0257
137,38.0257
138,38.0257
139,38.0257
140,38.0257
141,38.0257
142,38.0257
143,38.0257
144,38.0257
145,38.0257
146,38.0257
147,38.0257
148,38.0257
149,38.0257
150,38.0257
151,38.0257
152,38.0257
153,38.0257
154,38.0257
155,38.0257
156,38.0257
157,38.0257
158,38.0257
159,38.0257
160,38.0257
161,38.0257
162,38.0257
163,38.0257
164,38.0257
165,38.0257
166,38.0257
167,38.0257
168,38.0257
169,38.0257
170,38.0257
171,38.0257
172,38.0257
173,38.0257
174,38.0257
175,38.0257
176,38.0257
177,38.0257
178,38.0257
179,38.0257
180,38.0257
181,38.0257
182,38.0257
183,38.0257
184,38.0257
185,38.0257
186,38.0257
187,38.0257
188,38.0257
189,38.0257
190,38.0257
191,38.0257
192,38.0257
193,38.0257
194,38.0257
195,38.0257
196,38.0257
197,38.0257
198,38.0257
199,38.0257
200,38.0257
201,38.0257
202,38.0257
203,38.0257
204,38.0257
205,38.0257
206,38.0257
207,38.0257
208,38.0257
209,38.0257
210,38.0257
211,38.0257
212,38.0257
213,38.0257
214,38.0257
215,38.0257
216,38.0257
217,38.0257
218,38.0257
219,38.0257
220,38.0257
221,38.0257
222,38.0257
223,38.0257
224,38.0257
225,38.0257
226,38.0257
227,38.0257
228,38.0257
229,38.0257
230,38.0257
231,38.0257
232,38.0257
233,38.0257
234,38.0257
235,38.0257
236,38.0257
237,38.0257
238,38.0257
239,38.0257
240,38.0257
241,38.0257
242,38.0257
243,38.0257
244,38.0257
245,38.0257
246,38.0257
247,38.0257
248,38.0257
249,38.0257
250,38.0257
251,38.0257
252,38.0257
253,38.0257
254,38.0257
255,38.0257
256,38.0257
257,38.0257
258,38.0257
259,38.0257
260,38.0257
261,38.0257
262,38.0257
263,38.0257
264,38.0257
265,38.0257
266,38.0257
267,38.0257
268,38.0257
269,38.0257
270,38.0257
271,38.0257
272,38.0257
273,38.0257
274,38.0257
275,38.0257
276,38.0257
277,38.0257
278,38.0257
279,38.0257
280,38.0257
281,38.0257
282,38.0257
283,38.0257
284,38.0257
285,38.0257
286,38.0257
287,38.0257
288,38.0257
289,38.0257
290,38.0257
291,38.0257
292,38.0257
293,38.0257
294,38.0257
295,38.0257
296,38.0257
297,38.0257
298,38.0257
299,38.0257
300,38.0257
301,38.0257
302,38.0257
303,38.0257
304,38.0257
305,38.0257
306,38.0257
307,38.0257
308,38.0257
309,38.0257
310,38.0257
311,38.0257
312,38.0257
313,38.0257
314,38.0257
315,38.0257
316,38.0257
317,38.0257
318,38.0257
319,38.0257
320,38.0257
321,38.0257
322,38.0257
323,38.0257
324,38.0257
325,38.0257
326,38.0257
327,38.0257
328,38.0257
329,38.0257
330,38.0257
331,38.0257
332,38.0257
333,38.0257
334,38.0257
335,38.0257
336,38.0257
337,38.0257
338,38.0257
339,38.0257
340,38.0257
341,38.0257
342,38.0257
343,38.0257
344,38.0257
345,38.0257
346,38.0257
347,38.0257
348,38.0257
349,38.0257
350,38.0257
351,38.0257
352,38.0257
353,38.0257
354,38.0257
355,38.0257
356,38.0257
357,38.0257
358,38.0257
359,38.0257
360,38.0257
361,38.0257
362,38.0257
363,38.0257
364,38.0257
365,38.0257
366,38.0257
367,38.0257
368,38.0257
369,38.0257
370,38.0257
371,38.0257
372,38.0257
373,38.0257
374,38.0257
375,38.0257
376,38.0257
377,38.0257
378,38.0257
379,38.0257
380,38.0257
381,38.0257
382,38.0257
383,38.0257
384,38.0257
385,38.0257
386,38.0257
387,38.0257
388,38.0257
389,38.0257
390,38.0257
391,38.0257
392,38.0257
393,38.0257
394,38.0257
395,38.0257
396,38.0257
397,38.0257
398,38.0257
399,38.0257
400,38.0257
401,38.0257
402,38.0257
403,38.0257
404,38.0257
405,38.0257
406,38.0257
407,38.0257
408,38.0257
409,38.0257
410,38.0257
411,38.0257
412,38.0257
413,38.0257
414,38.0257
415,38.0257
416,38.0257
417,38.0257
418,38.0257
419,38.0257
420,38.0257
421,38.0257
422,38.0257
423,38.0257
424,38.0257
425,38.0257
426,38.0257
427,38.0257
428,38.0257
429,38.0257
430,38.0257
431,38.0257
432,38.0257
433,38.0257
434,38.0257
435,38.0257
436,38.0257
437,38.0257
438,38.0257
439,38.0257
440,38.0257
441,38.0257
442,38.0257
443,38.0257
444,38.0257
445,38.0257
446,38.0257
447,38.0257
448,38.0257
449,38.0257
450,38.0257
451,38.0257
452,38.0257
453,38.0257
454,38.0257
455,38.0257
456,38.0257
457,38.0257
458,38.0257
459,38.0257
460,38.0257
461,38.0257
462,38.0257
463,38.0257
464,38.0257
465,38.0257
466,38.0257
467,38.0257
468,38.0257
469,38.0257
470,38.0257
471,38.0257
472,38.0257
473,38.0257
474,38.0257
475,38.0257
476,38.0257
477,38.0257
478,38.0257
479,38.0257
480,38.0257
481,38.0257
482,38.0257
483,38.0257
484,38.0257
485,38.0257
486,38.0257
487,38.0257
488,38.0257
489,38.0257
490,38.0257
491,38.0257
492,38.0257
493,38.0257
494,38.0257
495,38.0257
496,38.0257
497,38.0257
498,38.0257
499,38.0257
